"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R3,R4";"R_0603";2;"R_0603";;;
2;"C5,C3,C4,C8,C11,C1,C2,C10,C12";"C_0402";9;"C_0402";;;
3;"U2";"QFN32_05_5x5_EP";1;"STM32L011KxUx";;;
4;"D1";"SOT23_4";1;"BAS3007ARPPE6327HTSA1";;;
5;"U3";"DFN8_05_2x2_EP";1;"DRV8220DSGR";;;
6;"Q1";"SOT563";1;"DMN601VK-7";;;
7;"R6,R7,R5,R9,R1,R8,R2";"R_0402";7;"R_0402";;;
8;"U1";"SOT23_5";1;"MCP1755T-3302E/OT";;;
9;"C7,C6,C9";"C_0805";3;"C_0805";;;
10;"J12";"TagConnect_2030_NL";1;"TC_2030_NL_STLINK";;;
11;"DS1";"DS_0603";1;"DS_0603";;;
12;"J1,J9,J4,J10,J6,J7,J3,J5,J8,J11,J2";"MountingPad_2.0x2.0mm";11;"Pad_4x2";;;
